Proposicoes,Ementa,Autor,UF,Partido,Apresentscao,Situacao,Link,Codfificacao Georgia,Codificacao Flavia,Codfificacao por busca de palavras,pandemia,covid,coronav,emergencial,calamidade
PLP 115/2020,"Estabelece que, durante oestado de calamidade pública decorrente do COVID-19, os impostos e contribuições devidos por substituição tributária ""para frente"" serão exigidos após a ocorrência do fato gerador presumido.",Luis Miranda,DF,DEM,28/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250840,1,1,1,#VALUE!,69,#VALUE!,#VALUE!,36
PL 1418/2020,"Autoriza, durante o período de estado de calamidade pública decorrente da pandemia do Coronavírus, que seja deduzido do imposto de renda devido por pessoas físicas e jurídicas as doações a fundos estaduais de saúde ou a hospitais universitários estaduais ou federais que organizem campanha de arrecadação para combate à COVID-19.",Fábio Trad,MS,PSD,01/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242698,1,1,1,75,321,87,#VALUE!,42
PL 1918/2020,"Autoriza, durante o período de estado de calamidade pública decorrente da pandemia da covid-19, que sejam suspensos os pagamentos de empréstimos consignados contratados por militares.",Fábio Trad,MS,PSD,15/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2248302,1,1,1,75,87,#VALUE!,#VALUE!,42
PL 2309/2020,"Autoriza que, durante o período de estado de calamidade pública decorrente da pandemia da covid-19, seja suspensa a exigibilidade de pagamentos de empréstimos consignados. ",Expedito Netto,RO,PSD,29/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250935,1,1,1,79,91,#VALUE!,#VALUE!,46
PL 1680/2020,"Determina tratamento prioritário, enquanto durar o estado de calamidade pública decretado pelo Congresso Nacional, às empresas e aos Estados que adotarem medidas para produção imediata de insumos e equipamentos médicos prioritários no combate à pandemia do coronavírus.",Eduardo Bismarck,CE,PDT,07/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2244917,1,1,1,246,#VALUE!,258,#VALUE!,62
PL 1433/2020,"Permite que, excepcionalmente e enquanto perdurar o estado de calamidade pública reconhecido pelo Congresso Nacional, o Banco Central do Brasil determine que os montantes que as instituições financeiras deixaram de recolher, em decorrência da redução de alíquotas do depósito compulsório, uma das medidas de enfrentamento à pandemia do coronavírus tomadas por aquela entidade, sejam integralmente destinados ao crédito. ",Paulo Abi-Ackel,MG,PSDB,01/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242717,1,1,1,325,#VALUE!,337,#VALUE!,63
PL 2045/2020,"Dispõe sobre medidas excepcionais a serem adotadas durante o estado de calamidade pública, reconhecido pelo Decreto Legislativo n° 6, de 20 de março de 2020, sobre a realização emergencial do Exame Nacional de Revalidação de Diplomas Médicos Expedidos por Instituição de Educação Superior Estrangeira (REVALIDA) e Contratação   durante a pandemia causada pelo novo coronavírus.",Perpétua Almeida,AC,PCdoB,20/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2249981,1,1,1,339,#VALUE!,366,178,72
PL 1911/2020,Prevê a prorrogação da renovação de licença sanitária durante o estado de calamidade pública provocada pela pandemia do Coronavírus (COVID-19).,Vinicius Farah,RJ,MDB,15/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2248292,1,1,1,109,134,121,#VALUE!,75
PL 1609/2020,"Autoriza deduções do valor do imposto devido, durante o período de estado de calamidade pública, por pessoa jurídica, às doações para combate à pandemia do Coronavírus.",Pastor Gil,MA,PL,06/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2244098,1,1,1,145,#VALUE!,157,#VALUE!,78
PL 1684/2020,Proíbe o cumprimento de mandados de reintegração de posse durante o período de calamidade pública decretado em razão da COVID-19,Alencar Santana Braga;Professora Rosa Neide;Jorge Solla;Patrus Ananias;José Guimarães;Maria do Rosário;Rogério Correia;João Daniel;Célio Moura;Paulo Teixeira;Frei Anastacio Ribeiro;José Ricardo;Carlos Veras;Valmir Assunção,SP;MT;BA;MG;CE;RS;MG;SE;TO;SP;PB;AM;PE;BA,PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT,07/04/2020,Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2244924,1,1,1,#VALUE!,121,#VALUE!,#VALUE!,80
PL 1466/2020,"Isenta caminhoneiros do pagamento de pedágio em rodovias, durante o período de calamidade pública causada pelo combate ao vírus Covid-19, em todo o território nacional. ",Filipe Barros,PR,PSL,02/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242791,1,1,1,#VALUE!,129,#VALUE!,#VALUE!,80
PL 1725/2020,"Dispõe sobre a suspensão, pelo período em que perdurar o estado de emergência e calamidade pública declarada em decorrência da pandemia COVID-19 no Brasil, a cobrança dos empréstimos consignados contraídos junto às instituições financeiras. ",Celina Leão,DF,PP,08/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2246547,1,1,1,128,137,#VALUE!,#VALUE!,81
PL 1442/2020,"Institui Gratificação Extraordinária aos servidores da saúde durante a vigência da calamidade de saúde pública decorrente do coronavírus (COVID-19), e dá outras disposições. ",Mauro Nazif;Lídice da Mata;Luciano Ducci;Camilo Capiberibe;Vilson da Fetaemg;Danilo Cabral;Alessandro Molon,RO;BA;PR;AP;MG;PE;RJ,PSB;PSB;PSB;PSB;PSB;PSB;PSB,02/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242760,1,1,1,#VALUE!,139,126,#VALUE!,84
PL 1891/2020,Prorroga o prazo para renovação de Certificados Digitais durante pandemia ou estado de calamidade pública reconhecido pelo Governo Federal.,Charlles Evangelista,MG,PSL,14/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2248240,1,1,1,66,#VALUE!,#VALUE!,#VALUE!,88
PL 1580/2020,Suspende os prazos de validade dos concursos públicos no período de vigência do Estado de Calamidade Pública relacionada ao Coronavírus (Covid 19).,Flordelis,RJ,PSD,06/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243102,1,1,1,#VALUE!,138,125,#VALUE!,91
PEC 10/2020 (Fase 2 - CD),"Institui Regime Extraordinário Fiscal, Financeiro e de Contratações para enfrentamento de calamidade pública nacional decorrente de pandemia.",Senado Federal,,,17/04/2020,Transformado em Norma Jurídica,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2249946,1,1,1,133,#VALUE!,#VALUE!,#VALUE!,91
PEC 10/2020,"Institui regime extraordinário fiscal, financeiro e de contratações para enfrentamento da calamidade pública nacional decorrente de pandemia internacional e dá outras providências.",Rodrigo Maia;Enrico Misasi;Joenia Wapichana;Luis Tibé;Zé Silva;Carlos Sampaio;André Figueiredo;Efraim Filho;Rejane Dias;Wellington Roberto,RJ;SP;RR;MG;MG;SP;CE;PB;PI;PB,DEM;PV;REDE;AVANTE;SOLIDARI;PSDB;PDT;DEM;PT;PL,01/04/2020,Aguardando Recebimento,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242583,1,1,1,133,#VALUE!,#VALUE!,#VALUE!,91
PL 1842/2020,"Cria o Programa de Compra de Alimentos do Pequeno Agricultor - PROCAPA, durante o estado de calamidade pública provocado pelo Coronavírus (COVID-19)",Paulo Ramos,RJ,PDT,14/04/2020,Arquivada,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2248022,1,1,1,#VALUE!,140,127,#VALUE!,93
PL 1552/2020,"Dispõe sobre a proteção de mulheres em situação de violência durante a vigência do estado de calamidade pública, com efeitos até 31 de dezembro de 2020, ou enquanto durarem medidas de quarentena e restrições de atividades no contexto da pandemia do COVID-19 (Novo Coronavírus).

NOVA EMENTA: Dispõe sobre medidas de proteção à mulher em situação de violência durante a vigência do estado de calamidade pública reconhecido pelo Decreto Legislativo nº 6, de 20 de março de 2020, ou, transcorrida sua vigência, enquanto durarem as medidas de quarentena e de restrições de atividades no contexto da pandemia da Covid-19.",Sâmia Bomfim;David Miranda;Fernanda Melchionna;Talíria Petrone;Luiza Erundina;Tereza Nelma;Mara Rocha;Professora Rosa Neide;Margarida Salomão;Lídice da Mata;Maria do Rosário;Erika Kokay;Patricia Ferraz;Leda Sadala;Professora Dorinha Seabra Rezende;Dulce Miranda;Norma Ayub;Tabata Amaral;Rejane Dias;Luisa Canziani;Perpétua Almeida;Paula Belmonte;Edmilson Rodrigues,SP;RJ;RS;RJ;SP;AL;AC;MT;MG;BA;RS;DF;AP;AP;TO;TO;ES;SP;PI;PR;AC;DF;PA,PSOL;PSOL;PSOL;PSOL;PSOL;PSDB;PSDB;PT;PT;PSB;PT;PT;PODE;AVANTE;DEM;MDB;DEM;PDT;PT;PTB;PCdoB;CIDADANIA;PSOL,03/04/2020,Aguardando Apreciação pelo Senado Federal,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243066,1,1,1,238,250,265,#VALUE!,94
PL 1554/2020,"Institui Gratificação Extraordinária aos servidores da segurança pública durante a vigência da calamidade de saúde pública decorrente do coronavírus (COVID-19), e dá outras disposições. ",Mauro Nazif;Luciano Ducci;Lídice da Mata,RO;PR;BA,PSB;PSB;PSB,03/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243068,1,1,1,#VALUE!,151,138,#VALUE!,96
PL 2184/2020,"Dispõe sobre as relações financeiras entre a União e o Banco Central do Brasil, em contexto de calamidade pública decorrente da pandemia de coronavírus (Covid-19).",Paulo Teixeira,SP,PT,27/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250604,1,1,1,129,154,141,#VALUE!,96
PL 1463/2020,"Dispõe sobre a suspensão do pagamento da dívida pública, interna e externa, durante o estado de calamidade pública decorrente da situação de emergência relacionada ao coronavírus (Covid-19).",Dagoberto Nogueira,MS,PDT,02/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242788,1,1,1,#VALUE!,181,168,#VALUE!,97
PL 1465/2020,"Permite que dívidas de empresas com governos municipal, estadual e federal,  oriundas do período de calamidade pública devido ao combate à pandemia do vírus Covid-19, não possam resultar na inscrição dessas empresas no cadastro de devedores. ",Filipe Barros,PR,PSL,02/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242790,1,1,1,140,158,#VALUE!,#VALUE!,101
PL 1948/2020,Dispõe sobre a suspensão dos prazos de validade dos concursos públicos enquanto perdurar o estado de calamidade pública decorrente da pandemia da Covid-19.,Pastor Gil,MA,PL,16/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2249324,1,1,1,135,147,#VALUE!,#VALUE!,102
PL 1731/2020,Cancela os feriados civis e religiosos federais que especifica em 2021 após a decretação de estado de calamidade pública em virtude da COVID-19.,Vinicius Carvalho,SP,REPUBLIC,08/04/2020,Retirado pelo Autor,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2246805,1,1,1,#VALUE!,136,#VALUE!,#VALUE!,103
PL 2263/2020,"Dispõe temporariamente sobre as penas aplicáveis a crimes específicos praticados durante o período de calamidade pública reconhecido em razão da pandemia de COVID-19, declarada pela Organização Mundial da Saúde",João Campos,GO,REPUBLIC,28/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250820,1,1,1,146,158,#VALUE!,#VALUE!,103
PL 1549/2020,"Dispõe sobre medidas emergenciais para os Povos Indígenas Isolados e de Recente Contato, no período de calamidade pública em razão do COVID-19 e dá outras providências.",Airton Faleiro;Luizianne Lins;Rubens Otoni;Margarida Salomão;Professora Rosa Neide;Paulo Pimenta;Célio Moura;Rejane Dias;Alexandre Padilha;Talíria Petrone;Nilto Tatto;Erika Kokay;Frei Anastacio Ribeiro;Marília Arraes;Jandira Feghali;José Ricardo;Edmilson Rodrigues,PA;CE;GO;MG;MT;RS;TO;PI;SP;RJ;SP;DF;PB;PE;RJ;AM;PA,PT;PT;PT;PT;PT;PT;PT;PT;PT;PSOL;PT;PT;PT;PT;PCdoB;PT;PSOL,03/04/2020,Arquivada,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243061,1,1,1,#VALUE!,135,#VALUE!,#VALUE!,104
PL 1907/2020,"Assegura aos consumidores o atendimento pelos planos e seguros de saúde durante a vigência do estado de calamidade pública em razão da pandemia do coronavírus (Covid-19), reconhecida pelo Decreto Legislativo nº 06, de 2020.",Ivan Valente;Talíria Petrone;Fernanda Melchionna;David Miranda;Luiza Erundina;Sâmia Bomfim;Edmilson Rodrigues,SP;RJ;RS;RJ;SP;SP;PA,PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL,15/04/2020,Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2248287,1,1,1,136,161,148,#VALUE!,105
PL 1981/2020,Dispõe sobre autorização de utilização de recursos por parte dos Municípios enquanto houver o Estado de Calamidade causado pelo COVID19.,Pedro Augusto Bezerra,CE,PTB,16/04/2020,Retirado pelo Autor,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2249898,1,1,1,#VALUE!,129,#VALUE!,#VALUE!,105
PL 1922/2020,"Dispõe sobre auxílio emergencial para compra de gás liquefeito de petróleo enquanto perdurar o estado de calamidade pública instituído pelo Decreto Legislativo Nº 6, 2020, e dá outras providências.",Bohn Gass;Paulo Teixeira,RS;SP,PT;PT,15/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2248306,1,1,1,#VALUE!,#VALUE!,#VALUE!,22,106
PL 1500/2020,Dispõe sobre a suspensão do desconto de empréstimo consignado como medida excepcional de enfrentamento da calamidade pública decretada em virtude do COVID-19.,André Figueiredo,CE,PDT,03/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242855,1,1,1,#VALUE!,150,#VALUE!,#VALUE!,107
PL 1377/2020,Dispõe sobre a liberação da franquia de dados de telefonia celular para todos os usuários em situações de calamidade pública ou de pandemias.,Rejane Dias,PI,PT,01/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242643,1,1,1,132,#VALUE!,#VALUE!,#VALUE!,107
PL 2117/2020,"Estabelece a suspensão das operações especiais: serviço da dívida interna (juros e amortizações), em caso calamidade pública nacional decorrente de pandemia internacional.",João Daniel,SE,PT,23/04/2020,Aguardando Autorização do Despacho,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250425,1,1,1,149,#VALUE!,#VALUE!,#VALUE!,107
MPV 950/2020,"Dispõe sobre medidas temporárias emergenciais destinadas ao setor elétrico para enfrentamento do estado de calamidade pública reconhecido pelo Decreto Legislativo nº 6, de 20 de março de 2020, e da emergência
de saúde pública de importância internacional decorrente da pandemia de coronavírus (covid-19).",Poder Executivo,,,08/04/2020,Perdeu a Eficácia,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2246359,1,1,1,270,295,282,#VALUE!,108
PL 1665/2020,Dispõe sobre os direitos dos entregadores que prestam serviços a aplicativos de entrega durante o estado de calamidade pública decorrente da pandemia do coronavírus (Covid-19).,Ivan Valente;Luiza Erundina;Marcelo Freixo;Fernanda Melchionna;David Miranda;Sâmia Bomfim;Áurea Carolina,SP;SP;RJ;RS;RJ;SP;MG,PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL,07/04/2020,Pronta para Pauta,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2244218,1,1,1,142,167,154,#VALUE!,109
PLP 85/2020,"Dispõe sobre a cobrança de tarifas de transferência de recursos entre contas bancárias durante o período de calamidade de que trata o Decreto Legislativo nº 6, de 20 de março de 2020, em decorrência da pandemia de Coronavirus (COVID-19).",Fernanda Melchionna,RS,PSOL,08/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2245012,1,1,1,203,228,215,#VALUE!,109
PL 1405/2020,Suspende os prazos de validade dos concursos públicos já homologados durante o período de vigência do estado de calamidade pública estabelecido pela União em decorrência da pandemia do coronavírus (COVID-19).,Sergio Vidigal,ES,PDT,01/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242676,1,1,1,174,199,186,#VALUE!,113
PL 1808/2020,"Permite ao trabalhador levantar até 50% (cinquenta por cento) do valor do depósito recursal durante o estado de calamidade pública reconhecido pelo Decreto Legislativo nº 6, de 20 de março de 2020, e da emergência de saúde pública de importância internacional decorrente do coronavírus (covid-19).",Carlos Bezerra,MT,MDB,13/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2247955,1,1,1,#VALUE!,288,275,#VALUE!,113
PL 1655/2020,"Suspende o registro de protesto extrajudicial de títulos e outros documentos de dívida, enquanto durar o estado de calamidade pública devido à pandemia do Coronavírus (covid-19), reconhecido pelo Decreto Legislativo nº 6, de 20 de março de 2020.",Mara Rocha,AC,PSDB,07/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2244202,1,1,1,144,169,156,#VALUE!,116
PL 2180/2020,Dispõe sobre a transparência nos contratos emergenciais firmados pela administração pública em razão da situação de calamidade decorrente da epidemia de COVID-19.,Miguel Lombardi,SP,PL,27/04/2020,Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250597,1,1,1,#VALUE!,154,#VALUE!,#VALUE!,117
PL 1488/2020,"Impede temporariamente o aumento da taxa de juros bancários por um período de 90 (noventa) dias, diante do estado de calamidade pública causado pelo coronavirus.",Pedro Augusto Bezerra,CE,PTB,02/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242824,1,1,1,#VALUE!,#VALUE!,150,#VALUE!,118
PL 1656/2020,"Suspende o desconto de empréstimo consignado deduzido de qualquer vencimento do utilizador,  enquanto durar o estado de calamidade pública devido à pandemia do Coronavírus (covid-19), reconhecido pelo Decreto Legislativo nº 6, de 20 de março de 2020.",Mara Rocha,AC,PSDB,07/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2244203,1,1,1,149,174,161,#VALUE!,121
MPV 948/2020,"Dispõe sobre o cancelamento de serviços, de reservas e de eventos dos setores de turismo e cultura em razão do estado de calamidade pública reconhecido pelo Decreto Legislativo nº 6, de 20 de março de 2020, e da emergência de saúde pública de importância internacional decorrente do coronavírus ( covid19 ).

NOVA EMENTA: Dispõe sobre o adiamento e o cancelamento de serviços, de reservas e de eventos dos setores de turismo e de cultura em razão do estado de calamidade pública reconhecido pelo Decreto Legislativo nº 6, de 20 de março de 2020, e da emergência de saúde pública de importância internacional decorrente da pandemia da Covid-19.",Poder Executivo,,,08/04/2020,Aguardando Sanção,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2246357,1,1,1,623,298,284,#VALUE!,122
PLP 91/2020,Permite a utilização de recursos da contribuição de iluminação pública para o combate a COVID 19 no período do Estado de Calamidade Pública,Milton Vieira,SP,REPUBLIC,13/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2248000,1,1,1,#VALUE!,89,#VALUE!,#VALUE!,122
PL 1615/2020,"Determina a licença de trabalhadores incluídos nos grupos de risco do COVID-19, grávidas e puérperas em virtude do estado de calamidade pública reconhecido pelo Decreto Legislativo nº 6, de 2020.",Marília Arraes;Professora Rosa Neide;Patrus Ananias;Jorge Solla;José Guimarães;Erika Kokay;Nilto Tatto;João Daniel;Luizianne Lins;Alexandre Padilha;Alencar Santana Braga;Paulo Pimenta;Maria do Rosário;Rogério Correia;Marcon;Célio Moura;Paulo Teixeira;Frei Anastacio Ribeiro;Rubens Otoni;José Ricardo,PE;MT;MG;BA;CE;DF;SP;SE;CE;SP;SP;RS;RS;MG;RS;TO;SP;PB;GO;AM,PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT,06/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2244105,1,1,1,#VALUE!,71,#VALUE!,#VALUE!,126
PL 1371/2020,Altera os critérios de percepção e o número de parcelas recebidas do Seguro-Desemprego no período de decretação de Estado de Calamidade em virtude da COVID-19.,Luizão Goulart,PR,REPUBLIC,01/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242636,1,1,1,#VALUE!,151,#VALUE!,#VALUE!,126
PL 1667/2020,"Altera a Lei n. 13.979,  de 6 de fevereiro de 2020, para autorizar a prática da telemedicina veterinária durante o estado de calamidade pública em decorrência da Covid-19.",Celso Sabino,PA,PSDB,07/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2244220,1,1,1,#VALUE!,163,#VALUE!,#VALUE!,126
PL 1573/2020,"Institui Gratificação Extraordinária aos Agentes Comunitários de Saúde e Agentes de Combate às Endemias durante a vigência da calamidade de saúde pública decorrente do coronavírus (COVID-19), e dá outras disposições. ",Mauro Nazif;Ted Conti;Luciano Ducci;Lídice da Mata;Rosana Valle;Danilo Cabral,RO;ES;PR;BA;SP;PE,PSB;PSB;PSB;PSB;PSB;PSB,06/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243095,1,1,1,#VALUE!,182,169,#VALUE!,127
PL 1436/2020,"Determina a prorrogação do prazo de entrega da declaração do Imposto de Renda de Pessoa Física por 60 dias em virtude do estado de calamidade pública decretada pelo Congresso Nacional, em decorrência da pandemia de coronavírus.",Paulo Pimenta,RS,PT,01/04/2020,Aguardando Encaminhamento,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242731,1,1,1,204,#VALUE!,216,#VALUE!,132
PL 1957/2020,Prevê a prorrogação dos prazos de exame de aptidão físico e mental e da carteira nacional de habilitação - CNH durante o estado de calamidade pública provocada pela pandemia do Corona vírus (COVID-19).,Vinicius Farah,RJ,MDB,16/04/2020,Retirado pelo Autor,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2249377,1,1,1,166,192,#VALUE!,#VALUE!,132
PL 1915/2020,Prevê a prorrogação dos prazos de exame de aptidão físico e mental e da carteira nacional de habilitação - CNH durante o estado de calamidade pública provocada pela pandemia do Corona vírus (COVID-19).,Vinicius Farah,RJ,MDB,15/04/2020,Retirado pelo Autor,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2248299,1,1,1,166,192,#VALUE!,#VALUE!,132
PL 1611/2020,"Altera a Lei n.º 9.532, de 1997, a fim de  aumentar o limite de deduções do valor do imposto devido, durante o período de estado de calamidade pública, por pessoas físicas apurado as doações para combate à pandemia do Coronavírus. ",Pastor Gil,MA,PL,06/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2244100,1,1,1,207,#VALUE!,219,#VALUE!,133
PL 1724/2020,Dispõe sobre a redução proporcional das mensalidades da rede privada de ensino pelo período em que perdurar o estado de emergência e calamidade pública declarada em decorrência da pandemia COVID-19 no Brasil.,Celina Leão,DF,PP,08/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2246546,1,1,1,181,190,#VALUE!,#VALUE!,134
PL 1628/2020,"Estabelece critérios de distribuição e comercialização do gás de cozinha para a população de baixa renda enquanto vigorar o estado de calamidade pública reconhecido pelo Decreto Legislativo Nº 6, de 20 de março de 2020, em decorrência da pandemia do Covid",Marcon,RS,PT,06/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2244151,1,1,1,239,251,#VALUE!,#VALUE!,135
PL 1482/2020,"Estabelece critérios de distribuição e comercialização do gás de cozinha para a população de baixa renda enquanto vigorar o estado de calamidade pública reconhecido pelo Decreto Legislativo Nº 6, de 20 de março de 2020, em decorrência da pandemia do Covid-19.",Rogério Correia,MG,PT,02/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242818,1,1,1,239,251,#VALUE!,#VALUE!,135
PLP 105/2020,Institui o empréstimo compulsório para instituições financeiras com o objetivo de atender às despesas urgentes causadas pela situação de calamidade pública relacionada ao coronavírus (COVID19). ,Valmir Assunção,BA,PT,20/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2249992,1,1,1,#VALUE!,185,172,#VALUE!,138
PL 1905/2020,Dispõe sobre a suspensão temporária da exigência do Processo Produtivo Básico - PPB para os produtos que especifica durante o período de calamidade pública em decorrência da pandemia do Covid-19.,Marcelo Ramos,AM,PL,15/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2248283,1,1,1,175,187,#VALUE!,#VALUE!,138
PL 1623/2020,"Dispõe sobre os contratos de aluguel residencial e comercial em todo o território nacional enquanto
perdurarem os efeitos da decretação de calamidade pública em virtude do Coronavirus (COVID-19).",Fernanda Melchionna;David Miranda;Sâmia Bomfim;Talíria Petrone;Luiza Erundina;Ivan Valente;Edmilson Rodrigues;Áurea Carolina,RS;RJ;SP;RJ;SP;SP;PA;MG,PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL,06/04/2020,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2244116,1,1,1,#VALUE!,186,173,#VALUE!,140
